year	week	AH1	AH1N12009	AH3	ANOTSUBTYPED	BYAMAGATA	BVICTORIA	BNOTDETERMINED
2021	20	0	0	0	0	0	0	0
2021	21	0	0	0	0	0	0	0
2021	22	0	0	0	0	0	0	1
2021	23	0	0	0	0	0	0	0
2021	24	0	0	0	0	0	0	1
2021	25	0	0	0	1	0	0	0
2021	26	0	0	0	0	0	0	0
2021	27	0	0	0	0	0	0	0
2021	28	0	0	0	0	0	0	1
2021	29	0	0	0	1	0	0	0
2021	30	0	0	0	1	0	0	0
2021	31	0	0	1	0	0	0	0
2021	32	0	0	1	1	0	0	0
2021	33	0	0	2	2	0	0	0
2021	34	0	0	0	1	0	0	0
2021	35	0	0	0	0	0	0	0
2021	36	0	0	2	0	0	0	0
2021	37	0	1	0	0	0	0	0
2021	38	0	0	0	0	0	0	0
2021	39	0	0	1	0	0	0	0
2021	40	0	0	4	1	0	0	0
2021	41	0	0	4	2	0	0	1
2021	42	0	0	6	3	0	0	0
2021	43	0	1	13	7	0	0	1
2021	44	0	1	18	6	0	0	0
2021	45	0	0	29	34	0	0	1
2021	46	0	0	32	64	0	0	6
2021	47	0	0	49	142	0	0	2
2021	48	0	0	75	468	0	0	1
2021	49	0	0	94	1663	0	0	4
