Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;A39 Meningokockinfektion;A40 Sepsis orsakad av streptokocker;A41 Annan sepsis
2013;Män;25­29;0,32;2,52;9,45
2013;Män;30­34;0,00;1,31;12,80
2013;Män;35­39;0,32;2,57;15,40
2013;Män;40­44;0,62;5,55;16,02
2013;Män;45­49;0,00;7,52;19,39
2013;Män;50­54;1,00;5,65;45,17
2013;Män;55­59;0,00;13,47;65,98
2013;Män;60­64;1,04;17,02;127,14
2013;Män;65­69;0,34;27,58;175,25
2013;Män;70­74;0,00;41,97;313,57
2013;Män;75­79;4,13;61,22;469,10
2013;Män;80­84;1,97;75,66;675,99
2013;Män;85+;3,49;138,52;1373,53
2013;Kvinnor;0­4;1,78;4,28;27,84
2013;Kvinnor;5­9;1,12;2,99;10,08
2013;Kvinnor;10­14;0,41;1,23;6,97
2013;Kvinnor;15­19;1,49;1,86;11,93
2013;Kvinnor;20­24;0,61;0,92;11,32
2013;Kvinnor;25­29;0,33;0,66;15,52
2013;Kvinnor;30­34;0,00;1,72;12,02
2013;Kvinnor;35­39;0,00;4,65;15,61
2013;Kvinnor;40­44;1,26;5,06;15,17
2013;Kvinnor;45­49;0,30;5,39;31,47
2013;Kvinnor;50­54;0,00;7,83;38,15
2013;Kvinnor;55­59;0,70;7,33;47,80
2013;Kvinnor;60­64;1,72;12,42;73,14
2013;Kvinnor;65­69;1,32;21,17;114,10
2013;Kvinnor;70­74;4,02;23,25;156,06
2013;Kvinnor;75­79;2,91;25,65;283,85
2013;Kvinnor;80­84;2,11;45,72;399,56
2013;Kvinnor;85+;1,78;71,39;633,59
2012;Män;0­4;1,71;4,78;29,68
2012;Män;5­9;0,73;2,54;13,78
2012;Män;10­14;0,79;3,18;9,13
2012;Män;15­19;2,01;2,69;12,43
2012;Män;20­24;2,08;0,59;10,97
2012;Män;25­29;0,00;1,29;11,33
2012;Män;30­34;0,00;3,33;11,31
2012;Män;35­39;0,32;3,48;12,35
2012;Män;40­44;0,61;5,83;24,54
2012;Män;45­49;1,17;5,86;35,18
2012;Män;50­54;0,67;7,42;45,19
2012;Män;55­59;1,73;6,92;76,44
2012;Män;60­64;2,04;19,05;118,37
2012;Män;65­69;1,71;24,34;184,47
2012;Män;70­74;0,50;38,10;302,27
2012;Män;75­79;0,71;50,47;514,69
2012;Män;80­84;0,99;83,91;723,56
2012;Män;85+;2,35;134,00;1308,24
2012;Kvinnor;0­4;2,16;3,97;27,41
2012;Kvinnor;5­9;0,00;0,38;12,61
2012;Kvinnor;10­14;0,42;1,68;7,56
2012;Kvinnor;15­19;0,71;1,42;11,04
2012;Kvinnor;20­24;0,31;1,86;9,01
2012;Kvinnor;25­29;1,71;1,02;13,64
2012;Kvinnor;30­34;0,35;3,13;12,86
2012;Kvinnor;35­39;0,65;4,26;16,70
2012;Kvinnor;40­44;1,26;4,10;19,55
2012;Kvinnor;45­49;0,30;4,56;28,89
2012;Kvinnor;50­54;0,34;5,17;30,34
2012;Kvinnor;55­59;2,80;8,39;44,03
2012;Kvinnor;60­64;1,35;12,48;77,91
2012;Kvinnor;65­69;0,68;19,96;108,95
2012;Kvinnor;70­74;1,41;25,41;171,75
2012;Kvinnor;75­79;2,38;33,25;278,48
2012;Kvinnor;80­84;0,00;45,92;386,84
2012;Kvinnor;85+;4,16;60,69;620,57
2011;Män;0­4;1,72;5,86;31,35
2011;Män;5­9;0,37;1,12;16,77
2011;Män;10­14;1,20;3,20;10,00
2011;Män;15­19;3,53;1,61;11,88
2011;Män;20­24;0,30;0,91;6,40
2011;Män;25­29;0,00;2,31;11,90
2011;Män;30­34;0,34;3,35;14,08
2011;Män;35­39;0,31;3,44;13,44
2011;Män;40­44;0,30;3,34;20,63
2011;Män;45­49;0,00;4,52;33,42
2011;Män;50­54;0,34;8,12;47,39
2011;Män;55­59;0,35;7,30;83,41
2011;Män;60­64;0,00;15,91;134,22
2011;Män;65­69;1,43;24,28;208,85
2011;Män;70­74;1,05;34,16;285,91
2011;Män;75­79;1,45;48,68;490,47
2011;Män;80­84;0,00;78,52;739,44
2011;Män;85+;0,00;118,64;1256,38
2011;Kvinnor;0­4;2,19;6,20;29,53
2011;Kvinnor;5­9;1,18;0,78;18,04
2011;Kvinnor;10­14;0,42;1,27;3,80
2011;Kvinnor;15­19;1,36;1,36;10,54
2011;Kvinnor;20­24;0,64;0,64;12,76
2011;Kvinnor;25­29;1,05;1,05;16,09
2011;Kvinnor;30­34;0,00;0,70;16,48
2011;Kvinnor;35­39;0,00;1,94;17,10
2011;Kvinnor;40­44;0,31;3,13;15,97
2011;Kvinnor;45­49;0,31;2,19;30,90
2011;Kvinnor;50­54;0,35;3,80;38,04
2011;Kvinnor;55­59;1,40;8,77;53,30
2011;Kvinnor;60­64;0,66;13,16;74,66
2011;Kvinnor;65­69;0,00;19,08;119,80
2011;Kvinnor;70­74;1,95;17,05;175,88
2011;Kvinnor;75­79;2,39;26,92;257,21
2011;Kvinnor;80­84;0,00;36,63;391,92
2011;Kvinnor;85+;3,57;65,48;626,85
2010;Män;0­4;0,35;6,66;35,04
