Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;A39 Meningokockinfektion;A40 Sepsis orsakad av streptokocker;A41 Annan sepsis
2001;Kvinnor;30­34;0,00;6,55;17,03
2001;Kvinnor;35­39;0,64;4,80;19,83
2001;Kvinnor;40­44;0,00;3,84;30,35
2001;Kvinnor;45­49;0,35;9,02;31,56
2001;Kvinnor;50­54;0,32;6,06;38,26
2001;Kvinnor;55­59;0,33;13,01;47,37
2001;Kvinnor;60­64;0,00;11,96;59,79
2001;Kvinnor;65­69;0,00;13,65;95,58
2001;Kvinnor;70­74;1,53;17,32;155,86
2001;Kvinnor;75­79;2,10;24,72;189,33
2001;Kvinnor;80­84;1,30;51,44;311,27
2001;Kvinnor;85+;0,00;45,54;423,18
2000;Män;0­4;2,95;2,10;16,83
2000;Män;5­9;0,00;1,96;4,90
2000;Män;10­14;0,34;1,02;6,77
2000;Män;15­19;3,84;1,54;6,53
2000;Män;20­24;2,27;3,41;7,19
2000;Män;25­29;0,00;3,64;10,60
2000;Män;30­34;0,31;4,01;12,32
2000;Män;35­39;0,63;7,22;14,13
2000;Män;40­44;0,67;6,71;18,11
2000;Män;45­49;0,67;9,77;30,32
2000;Män;50­54;0,00;9,17;36,37
2000;Män;55­59;0,69;11,37;66,47
2000;Män;60­64;1,85;18,49;111,39
2000;Män;65­69;0,00;23,25;167,18
2000;Män;70­74;0,00;31,45;241,94
2000;Män;75­79;0,00;55,75;388,21
2000;Män;80­84;0,00;70,53;561,07
2000;Män;85+;1,60;92,77;801,36
2000;Kvinnor;0­4;1,33;4,88;14,63
2000;Kvinnor;5­9;0,34;0,69;7,56
2000;Kvinnor;10­14;0,00;1,07;4,29
2000;Kvinnor;15­19;3,25;0,41;12,99
2000;Kvinnor;20­24;3,93;0,79;10,61
2000;Kvinnor;25­29;0,69;3,77;13,03
2000;Kvinnor;30­34;0,32;1,94;14,84
2000;Kvinnor;35­39;0,00;7,25;14,17
2000;Kvinnor;40­44;0,00;5,92;18,44
2000;Kvinnor;45­49;0,35;9,34;27,32
2000;Kvinnor;50­54;0,00;7,79;39,26
2000;Kvinnor;55­59;0,35;12,02;49,48
2000;Kvinnor;60­64;1,36;18,59;66,19
2000;Kvinnor;65­69;0,00;16,07;91,92
2000;Kvinnor;70­74;0,00;18,12;129,85
2000;Kvinnor;75­79;0,51;30,05;201,68
2000;Kvinnor;80­84;1,36;38,65;284,79
2000;Kvinnor;85+;0,71;46,11;361,82
1999;Män;0­4;3,25;4,47;13,81
1999;Män;5­9;0,64;0,96;5,10
1999;Män;10­14;1,41;0,35;4,23
1999;Män;15­19;1,16;0,39;11,98
1999;Män;20­24;2,23;1,86;7,82
1999;Män;25­29;0,33;3,64;8,27
1999;Män;30­34;0,00;5,11;11,12
1999;Män;35­39;0,00;7,46;17,51
1999;Män;40­44;0,00;8,38;19,11
1999;Män;45­49;1,00;9,62;30,53
1999;Män;50­54;0,00;10,52;37,89
1999;Män;55­59;0,00;12,84;69,33
1999;Män;60­64;0,00;22,93;97,45
1999;Män;65­69;0,00;22,63;147,35
1999;Män;70­74;0,60;33,40;249,33
1999;Män;75­79;0,00;47,70;365,44
1999;Män;80­84;0,00;56,46;574,58
1999;Män;85+;0,00;128,75;769,22
1999;Kvinnor;0­4;1,28;5,56;8,55
1999;Kvinnor;5­9;0,00;0,67;5,04
1999;Kvinnor;10­14;0,37;0,37;4,47
1999;Kvinnor;15­19;2,85;1,22;7,33
1999;Kvinnor;20­24;1,94;1,16;10,45
1999;Kvinnor;25­29;0,34;5,14;11,31
1999;Kvinnor;30­34;0,00;4,74;18,95
1999;Kvinnor;35­39;0,68;5,78;20,40
1999;Kvinnor;40­44;0,35;5,21;14,60
1999;Kvinnor;45­49;0,00;7,84;23,52
1999;Kvinnor;50­54;0,00;9,23;34,16
1999;Kvinnor;55­59;0,75;11,27;48,08
1999;Kvinnor;60­64;0,93;15,33;49,26
1999;Kvinnor;65­69;0,99;18,85;81,83
1999;Kvinnor;70­74;0,00;20,30;134,20
1999;Kvinnor;75­79;1,00;25,09;167,11
1999;Kvinnor;80­84;2,08;38,14;239,24
1999;Kvinnor;85+;0,72;38,94;303,61
1998;Män;0­4;1,55;4,25;25,91
1998;Män;5­9;0,95;1,27;4,44
1998;Män;10­14;0,73;1,10;3,29
1998;Män;15­19;2,33;0,78;6,98
1998;Män;20­24;3,62;2,17;3,62
1998;Män;25­29;0,99;4,29;6,60
1998;Män;30­34;0,00;3,85;9,47
1998;Män;35­39;0,00;7,96;15,59
1998;Män;40­44;0,67;7,71;18,09
1998;Män;45­49;0,97;8,77;26,63
1998;Män;50­54;0,00;11,99;37,78
1998;Män;55­59;1,17;10,92;58,90
1998;Män;60­64;0,49;27,17;89,43
1998;Män;65­69;0,00;20,75;141,43
1998;Män;70­74;0,00;28,71;208,58
1998;Män;75­79;0,00;64,42;347,89
1998;Män;80­84;1,11;76,66;506,65
1998;Män;85+;0,00;76,86;730,17
1998;Kvinnor;0­4;2,84;3,25;14,62
1998;Kvinnor;5­9;0,33;1,00;4,35
1998;Kvinnor;10­14;0,77;1,16;5,41
1998;Kvinnor;15­19;2,45;2,04;3,26
1998;Kvinnor;20­24;2,26;2,64;10,56
1998;Kvinnor;25­29;1,03;2,05;7,53
1998;Kvinnor;30­34;0,94;3,44;11,87
1998;Kvinnor;35­39;0,00;6,26;19,14
1998;Kvinnor;40­44;0,69;5,55;18,38
1998;Kvinnor;45­49;0,00;7,00;21,33
1998;Kvinnor;50­54;1,23;12,03;32,09
1998;Kvinnor;55­59;0,00;11,13;35,39
1998;Kvinnor;60­64;0,95;18,58;53,36
1998;Kvinnor;65­69;0,49;11,70;79,01
1998;Kvinnor;70­74;0,49;24,81;120,64
1998;Kvinnor;75­79;0,50;29,28;177,72
1998;Kvinnor;80­84;1,38;34,57;241,97
1998;Kvinnor;85+;0,00;42,05;291,38
Socialstyrelsens statistikdatabas 2017-12-25
