Age	Sex	Year	pop
110	F	2014	4
110	F	2015	2
110	F	2016	5
110	F	2017	2
110	F	2018	2
110	F	2019	1
110	F	2020	2
110	F	2021	1
110	F	2022	3
110	F	2023	3
