age	sex	year	mpop
0	m	2022	56393.5
0	f	2022	53531.0
1	m	2022	59303.0
1	f	2022	56283.5
2	m	2022	60159.5
2	f	2022	56660.0
3	m	2022	61333.0
3	f	2022	57866.5
4	m	2022	62092.5
4	f	2022	58778.0
5	m	2022	63415.5
5	f	2022	60079.0
6	m	2022	64238.0
6	f	2022	60393.5
7	m	2022	64223.5
7	f	2022	60232.5
8	m	2022	64231.0
8	f	2022	60581.5
9	m	2022	64292.0
9	f	2022	60692.0
10	m	2022	64225.5
10	f	2022	60795.0
11	m	2022	65304.0
11	f	2022	61658.5
12	m	2022	65741.0
12	f	2022	61992.5
13	m	2022	64650.0
13	f	2022	60844.0
14	m	2022	63966.0
14	f	2022	60142.5
15	m	2022	63286.5
15	f	2022	59647.5
16	m	2022	62079.0
16	f	2022	58677.0
17	m	2022	61192.0
17	f	2022	57532.5
18	m	2022	60953.0
18	f	2022	57135.5
19	m	2022	60040.0
19	f	2022	56366.0
20	m	2022	59116.5
20	f	2022	54711.5
21	m	2022	59819.5
21	f	2022	53856.0
22	m	2022	63674.0
22	f	2022	54099.5
23	m	2022	64488.0
23	f	2022	54643.5
24	m	2022	61664.0
24	f	2022	55780.0
25	m	2022	61976.5
25	f	2022	57988.0
26	m	2022	65739.5
26	f	2022	61674.0
27	m	2022	70396.5
27	f	2022	66474.0
28	m	2022	74092.0
28	f	2022	70481.5
29	m	2022	77328.0
29	f	2022	73333.5
30	m	2022	80029.5
30	f	2022	75595.0
31	m	2022	81412.5
31	f	2022	77258.0
32	m	2022	80334.0
32	f	2022	76473.5
33	m	2022	78209.5
33	f	2022	74228.0
34	m	2022	75680.5
34	f	2022	72086.0
35	m	2022	73314.0
35	f	2022	69923.5
36	m	2022	72545.5
36	f	2022	68324.0
37	m	2022	70680.0
37	f	2022	66327.5
38	m	2022	68409.5
38	f	2022	64440.0
39	m	2022	67558.5
39	f	2022	63722.0
40	m	2022	66743.0
40	f	2022	63360.5
41	m	2022	66833.0
41	f	2022	64052.0
42	m	2022	66802.0
42	f	2022	63967.0
43	m	2022	64544.0
43	f	2022	61994.0
44	m	2022	63760.5
44	f	2022	61311.0
45	m	2022	64306.5
45	f	2022	61784.0
46	m	2022	65457.5
46	f	2022	63109.0
47	m	2022	67742.0
47	f	2022	65568.0
48	m	2022	68268.0
48	f	2022	66261.5
49	m	2022	67982.0
49	f	2022	66131.0
50	m	2022	68169.0
50	f	2022	66426.0
51	m	2022	66940.5
51	f	2022	65411.5
52	m	2022	65410.5
52	f	2022	63848.5
53	m	2022	66006.0
53	f	2022	64347.0
54	m	2022	68646.0
54	f	2022	66785.0
55	m	2022	70301.5
55	f	2022	68127.0
56	m	2022	70300.5
56	f	2022	68226.5
57	m	2022	69646.0
57	f	2022	68032.5
58	m	2022	66824.5
58	f	2022	65250.5
59	m	2022	62728.0
59	f	2022	61241.5
60	m	2022	59605.0
60	f	2022	58679.5
61	m	2022	57745.0
61	f	2022	57279.5
62	m	2022	57104.5
62	f	2022	56703.5
63	m	2022	56651.0
63	f	2022	56266.0
64	m	2022	56116.5
64	f	2022	56300.0
65	m	2022	55921.5
65	f	2022	56164.0
66	m	2022	54851.0
66	f	2022	55408.5
67	m	2022	52970.0
67	f	2022	54197.5
68	m	2022	52435.0
68	f	2022	53699.5
69	m	2022	52129.5
69	f	2022	53703.5
70	m	2022	50692.0
70	f	2022	52833.5
71	m	2022	50709.5
71	f	2022	53030.0
72	m	2022	51808.5
72	f	2022	54414.5
73	m	2022	52422.0
73	f	2022	55823.5
74	m	2022	52379.0
74	f	2022	56137.0
75	m	2022	51704.5
75	f	2022	55503.0
76	m	2022	50574.0
76	f	2022	54297.5
77	m	2022	48462.5
77	f	2022	52291.0
78	m	2022	44514.0
78	f	2022	48966.0
79	m	2022	39736.5
79	f	2022	44182.5
80	m	2022	34257.0
80	f	2022	38658.0
81	m	2022	29481.0
81	f	2022	34316.5
82	m	2022	26924.0
82	f	2022	32301.5
83	m	2022	24300.0
83	f	2022	30516.5
84	m	2022	21202.0
84	f	2022	27714.5
85	m	2022	18467.0
85	f	2022	25028.0
86	m	2022	15892.5
86	f	2022	22458.5
87	m	2022	13315.5
87	f	2022	19925.0
88	m	2022	11179.0
88	f	2022	17842.5
89	m	2022	9519.5
89	f	2022	16009.5
90	m	2022	7971.5
90	f	2022	14289.0
91	m	2022	6377.5
91	f	2022	12400.0
92	m	2022	4924.5
92	f	2022	10359.5
93	m	2022	3714.0
93	f	2022	8459.0
94	m	2022	2782.0
94	f	2022	6790.5
95	m	2022	1967.0
95	f	2022	5282.5
96	m	2022	1381.5
96	f	2022	3997.0
97	m	2022	918.5
97	f	2022	2959.0
98	m	2022	608.0
98	f	2022	2078.0
99	m	2022	374.0
99	f	2022	1375.0
100	m	2022	430.5
100	f	2022	2244.0
