age	m	a	q	p	l	d	ld	t	e
0	0.0020311153212661187	0.05045151352227826	0.0020272055664965634	0.9979727944335034	1.0	0.0020272055664965634	0.998075070022554	81.21431980673438	81.21431980673438
1	0.00020125279867173152	0.5	0.00020123254936485976	0.9997987674506351	0.9979727944335034	0.000200824609620627	0.9978723821286931	80.21624473671183	80.37918987786271
2	0.000131207767499836	0.5	0.00013119916032537394	0.9998688008396747	0.9977719698238827	0.00013090684463708775	0.9977065164015642	79.21837235458314	79.39526740620506
3	9.71266693646297e-5	0.5	9.712195279873094e-5	0.9999028780472012	0.9976410629792457	9.689284822874607e-5	0.9975926165551313	78.22066583818157	78.40561975726216
4	0.0001424772036474164	0.5	0.00014246705449364833	0.9998575329455064	0.9975441701310169	0.0001421171796458768	0.997473111541194	77.22307322162645	77.41318683811666
5	6.245657316397193e-5	0.5	6.245462281311236e-5	0.9999375453771869	0.9974020529513711	6.22923690101018e-5	0.997370906766866	76.22560011008525	76.42414599461596
6	4.6813922460539765e-5	0.5	4.681282671451978e-5	0.9999531871732855	0.9973397605823611	4.668829338764271e-5	0.9973164164356673	75.22822920331839	75.42888810468315
7	9.37251042691785e-5	0.5	9.372071227741331e-5	0.9999062792877226	0.9972930722889735	9.346701708425243e-5	0.9972463387804313	74.23091278688273	74.43239590194781
8	6.243853706507656e-5	0.5	6.243658784047451e-5	0.9999375634121596	0.9971996052718892	6.226174074904482e-5	0.9971684744015147	73.2336664481023	73.4393255482035
9	0.0001093519335765112	0.5	0.00010934595498070823	0.9998906540450193	0.9971373435311403	0.00010903293507533905	0.9970828270636026	72.23649797370078	72.44387991516923
10	3.0756218522932607e-5	0.5	3.0755745557716997e-5	0.9999692442544423	0.9970283105960649	3.0664349034533e-5	0.9970129784215477	71.23941514663717	71.45174754771737
11	7.636094290492298e-5	0.5	7.635802751943312e-5	0.9999236419724805	0.9969976462470305	7.61287737089408e-5	0.996959581860176	70.24240216821562	70.45392978872826
12	4.659542743538767e-5	0.5	4.659434189374936e-5	0.9999534056581062	0.9969215174733215	4.645090202638737e-5	0.9968982920223083	69.24544258635544	69.45927174072507
13	0.00012565379238852154	0.5	0.0001256458984467026	0.9998743541015533	0.996875066571295	0.00012525326337846682	0.9968124399396058	68.24854429433313	68.46248500232912
14	6.349508706763815e-5	0.5	6.349307131859236e-5	0.9999365069286814	0.9967498133079166	6.328670698315316e-5	0.996718169954425	67.25173185439353	67.47102528286914
15	0.00019433198380566801	0.5	0.00019431310318025776	0.9998056868968197	0.9966865266009334	0.00019366925188177988	0.9965896919749925	66.2550136844391	66.47527774895583
16	0.00018083034004323488	0.5	0.00018081399171543164	0.9998191860082846	0.9964928573490516	0.0001801798512531982	0.9964027674234249	65.25842399246412	65.48810010145952
17	0.0003142131853775106	0.5	0.00031416382816892087	0.999685836171831	0.9963126774977984	0.0003130054048159358	0.9961561747953904	64.2620212250407	64.49985298433855
18	0.0003692328348690063	0.5	0.00036916468100815515	0.9996308353189919	0.9959996720929825	0.000367687901232433	0.9958158281423662	63.26586505024531	63.51996574185525
19	0.000562453661488116	0.5	0.0005622955288985822	0.9994377044711014	0.99563198419175	0.000559839413139445	0.9953520644851803	62.27004922210294	62.54323907909961
