age	sex	year	deaths
0	m	2022	122
0	f	2022	107
1	m	2022	12
1	f	2022	12
2	m	2022	4
2	f	2022	3
3	m	2022	9
3	f	2022	9
4	m	2022	8
4	f	2022	2
5	m	2022	2
5	f	2022	3
6	m	2022	4
6	f	2022	4
7	m	2022	6
7	f	2022	4
8	m	2022	5
8	f	2022	0
9	m	2022	5
9	f	2022	4
10	m	2022	2
10	f	2022	2
11	m	2022	4
11	f	2022	4
12	m	2022	3
12	f	2022	1
13	m	2022	8
13	f	2022	7
14	m	2022	9
14	f	2022	11
15	m	2022	7
15	f	2022	11
16	m	2022	13
16	f	2022	4
17	m	2022	20
17	f	2022	9
18	m	2022	22
18	f	2022	11
19	m	2022	36
19	f	2022	11
20	m	2022	32
20	f	2022	8
21	m	2022	34
21	f	2022	5
22	m	2022	45
22	f	2022	12
23	m	2022	38
23	f	2022	17
24	m	2022	33
24	f	2022	5
25	m	2022	39
25	f	2022	17
26	m	2022	43
26	f	2022	16
27	m	2022	42
27	f	2022	16
28	m	2022	50
28	f	2022	12
29	m	2022	45
29	f	2022	19
30	m	2022	50
30	f	2022	27
31	m	2022	56
31	f	2022	20
32	m	2022	42
32	f	2022	24
33	m	2022	51
33	f	2022	30
34	m	2022	47
34	f	2022	22
35	m	2022	65
35	f	2022	22
36	m	2022	46
36	f	2022	20
37	m	2022	59
37	f	2022	22
38	m	2022	62
38	f	2022	35
39	m	2022	54
39	f	2022	31
40	m	2022	69
40	f	2022	29
41	m	2022	74
41	f	2022	41
42	m	2022	75
42	f	2022	34
43	m	2022	73
43	f	2022	30
44	m	2022	73
44	f	2022	36
45	m	2022	83
45	f	2022	38
46	m	2022	61
46	f	2022	51
47	m	2022	98
47	f	2022	61
48	m	2022	95
48	f	2022	73
49	m	2022	115
49	f	2022	79
50	m	2022	122
50	f	2022	91
51	m	2022	147
51	f	2022	112
52	m	2022	138
52	f	2022	113
53	m	2022	141
53	f	2022	115
54	m	2022	219
54	f	2022	127
55	m	2022	233
55	f	2022	128
56	m	2022	248
56	f	2022	182
57	m	2022	280
57	f	2022	194
58	m	2022	281
58	f	2022	200
59	m	2022	308
59	f	2022	220
60	m	2022	338
60	f	2022	227
61	m	2022	357
61	f	2022	233
62	m	2022	402
62	f	2022	258
63	m	2022	420
63	f	2022	279
64	m	2022	499
64	f	2022	293
65	m	2022	547
65	f	2022	366
66	m	2022	592
66	f	2022	385
67	m	2022	615
67	f	2022	420
68	m	2022	683
68	f	2022	459
69	m	2022	764
69	f	2022	537
70	m	2022	813
70	f	2022	597
71	m	2022	935
71	f	2022	644
72	m	2022	1034
72	f	2022	744
73	m	2022	1192
73	f	2022	819
74	m	2022	1219
74	f	2022	911
75	m	2022	1355
75	f	2022	1008
76	m	2022	1477
76	f	2022	1187
77	m	2022	1687
77	f	2022	1210
78	m	2022	1659
78	f	2022	1318
79	m	2022	1705
79	f	2022	1382
80	m	2022	1748
80	f	2022	1321
81	m	2022	1595
81	f	2022	1380
82	m	2022	1760
82	f	2022	1517
83	m	2022	1783
83	f	2022	1578
84	m	2022	1706
84	f	2022	1638
85	m	2022	1763
85	f	2022	1722
86	m	2022	1652
86	f	2022	1751
87	m	2022	1634
87	f	2022	1773
88	m	2022	1593
88	f	2022	1841
89	m	2022	1503
89	f	2022	1916
90	m	2022	1494
90	f	2022	1918
91	m	2022	1457
91	f	2022	1984
92	m	2022	1181
92	f	2022	1828
93	m	2022	1007
93	f	2022	1778
94	m	2022	870
94	f	2022	1570
95	m	2022	683
95	f	2022	1357
96	m	2022	501
96	f	2022	1140
97	m	2022	392
97	f	2022	1017
98	m	2022	258
98	f	2022	761
99	m	2022	169
99	f	2022	529
100	m	2022	293
100	f	2022	1086
