age	m	a	q	p	l	d	ld	t	e
0	0.0019988417926061534	0.05859675701929723	0.0019950876040493986	0.9980049123959506	1.0	0.0019950876040493986	0.9981218180595173	84.7376748222239	84.7376748222239
1	0.00021320635710288095	0.5	0.00021318363105019586	0.9997868163689498	0.9980049123959506	0.00021275831103050136	0.9978985332404353	83.73955300416438	83.90695472943862
2	5.294740557712672e-5	0.5	5.2946003900355615e-5	0.9999470539960996	0.9977921540849201	5.282910728192441e-5	0.9977657395312791	82.74165447092395	82.92473951832855
3	0.00015553040187327727	0.5	0.00015551830796080936	0.9998444816920392	0.9977393249776381	0.00015516673160648236	0.9976617416118349	81.74388873139267	81.92910380998039
4	3.4026336384361496e-5	0.5	3.402575749842631e-5	0.9999659742425016	0.9975841582460316	3.394355665275121e-5	0.9975671864677053	80.74622698978084	80.94176949616977
5	4.9934253233242894e-5	0.5	4.9933006549546026e-5	0.9999500669934505	0.9975502146893789	4.98106814035858e-5	0.9975253093486771	79.74865980331313	79.94450668144619
6	6.623229321036205e-5	0.5	6.623009992466326e-5	0.9999337699000753	0.9975004040079753	6.606455143234019e-5	0.9974673717322592	78.75113449396446	78.94847378260793
7	6.640933051093678e-5	0.5	6.64071254845645e-5	0.9999335928745154	0.997434339456543	6.623674734290435e-5	0.9974012210828715	77.7536671222322	77.95366977699672
8	0.0	0.5	0.0	1.0	0.9973681027092002	0.0	0.9973681027092002	76.75626590114933	76.95881359415095
9	6.590654451987082e-5	0.5	6.59043727551323e-5	0.9999340956272449	0.9973681027092002	6.573091921502621e-5	0.9973352372495926	75.75889779844013	75.95881359415094
10	3.28974422238671e-5	0.5	3.289690111191526e-5	0.999967103098888	0.9973023717899852	3.280815750345369e-5	0.9972859677112335	74.76156256119054	74.9637869876981
11	6.487345621447165e-5	0.5	6.487135200006487e-5	0.9999351286479999	0.9972695636324816	6.469422490135381e-5	0.997237216520031	73.76427659347931	73.96623669612288
12	1.61309835867242e-5	0.5	1.613085348345781e-5	0.9999838691465165	0.9972048694075804	1.6085765641404358e-5	0.9971968265247596	72.76703937695927	72.97100285941116
13	0.0001150483202945237	0.5	0.00011504170261719874	0.9998849582973828	0.9971887836419389	0.00011471829550094207	0.9971314244941883	71.76984255043452	71.97217189739767
14	0.0001828989483310471	0.5	0.000182882223847842	0.9998171177761521	0.9970740653464379	0.0001823471224115651	0.9969828917852321	70.77271112594033	70.98039512375647
15	0.00018441678192715537	0.5	0.00018439977872026554	0.9998156002212797	0.9968917182240263	0.00018382661224857576	0.9967998049179021	69.7757282341551	69.99328709286634
16	6.816981099919901e-5	0.5	6.816748751682885e-5	0.9999318325124832	0.9967078916117778	6.794307275937067e-5	0.996673920075398	68.7789284292372	69.00610400306422
17	0.0001564333202972233	0.5	0.00015642108556233381	0.9998435789144376	0.9966399485390184	0.00015589550266526176	0.9965620007876858	67.7822545091618	68.01077421040998
18	0.00019252478756639918	0.5	0.00019250625645333473	0.9998074937435467	0.9964840530363531	0.0001918294146654746	0.9963881383290204	66.78569250837411	67.02133597108119
19	0.00019515310648263138	0.5	0.00019513406597305375	0.999804865934027	0.9962922236216877	0.00019441055249263482	0.9961950183454413	65.78930437004509	66.0341442101094
20	0.00014622154391672683	0.5	0.0001462108543282982	0.9998537891456717	0.9960978130691951	0.0001456403122433965	0.9960249929130734	64.79310935169964	65.04693464997972
21	9.284016636957813e-5	0.5	9.28358569213773e-5	0.9999071641430787	0.9959521727569517	9.24600734105992e-5	0.9959059427202464	63.79708435878656	64.05637349250038
22	0.00022181351029122265	0.5	0.0002217889124026208	0.9997782110875973	0.9958597126835411	0.00022087064258166902	0.9957492773622503	62.801178416066314	63.0622743507076
23	0.000311107451023452	0.5	0.00031105906462709505	0.9996889409353729	0.9956388420409594	0.0003097024869116649	0.9954839907975036	61.80542913870406	62.07615304763438
24	8.963786303334529e-5	0.5	8.963384574015148e-5	0.9999103661542599	0.9953291395540477	8.921517855546522e-5	0.99528453196477	60.80994514790656	61.09531282802808
