x	mx	qx	lx	dx	ex
0	1.9988417926061534e-3	1.9968461028842294e-3	1.0	1.9968461028842294e-3	84.73840703083087
1	2.1320635710288095e-4	2.1318363105019586e-4	0.9980031538971158	2.1275793614733456e-4	83.90695472943867
2	5.294740557712672e-5	5.2946003900355615e-5	0.9977903959609685	5.282901419628681e-5	82.9247395183286
3	1.5553040187327727e-4	1.5551830796080936e-4	0.9977375669467722	1.5516645820049676e-4	81.92910380998043
4	3.4026336384361496e-5	3.402575749842631e-5	0.9975824004885717	3.394349684372214e-5	80.94176949616981
5	4.9934253233242894e-5	4.9933006549546026e-5	0.997548456991728	4.981059363645749e-5	79.94450668144621
6	6.623229321036205e-5	6.623009992466326e-5	0.9974986463980916	6.606443502566196e-5	78.94847378260796
7	6.640933051093678e-5	6.64071254845645e-5	0.997432581963066	6.623663063281449e-5	77.95366977699673
8	0.0	0.0	0.9973663453324332	0.0	76.95881359415097
9	6.590654451987082e-5	6.59043727551323e-5	0.9973663453324332	6.573080339621268e-5	75.95881359415097
10	3.28974422238671e-5	3.289690111191526e-5	0.997300614529037	3.2808099695014046e-5	74.96378698769813
11	6.487345621447165e-5	6.487135200006487e-5	0.9972678064293419	6.469411090921039e-5	73.96623669612288
12	1.61309835867242e-5	1.613085348345781e-5	0.9972031123184326	1.6085737298056758e-5	72.97100285941119
13	1.150483202945237e-4	1.1504170261719874e-4	0.9971870265811346	1.1471809336567554e-4	71.97217189739767
14	1.828989483310471e-4	1.82882223847842e-4	0.9970723084877688	1.8234680111334472e-4	70.98039512375647
15	1.8441678192715537e-4	1.8439977872026554e-4	0.9968899616866554	1.8382628834347326e-4	69.99328709286635
16	6.816981099919901e-5	6.816748751682885e-5	0.9967061353983119	6.794295304271115e-5	69.00610400306424
17	1.564333202972233e-4	1.5642108556233381e-4	0.9966381924452692	1.5589522797517115e-4	68.01077421040999
18	1.9252478756639918e-4	1.9250625645333473e-4	0.996482297217294	1.9182907665932052e-4	67.0213359710812
19	1.9515310648263138e-4	1.9513406597305375e-4	0.9962904681406347	1.9441020993847923e-4	66.0341442101094
20	1.4622154391672683e-4	1.462108543282982e-4	0.9960960579306962	1.456400556230971e-4	65.04693464997975
21	9.284016636957813e-5	9.28358569213773e-5	0.9959504178750731	9.245991049463622e-5	64.05637349250041
22	2.2181351029122265e-4	2.217889124026208e-4	0.9958579579645785	2.2087025340445873e-4	63.06227435070762
23	3.11107451023452e-4	3.1105906462709505e-4	0.9956370877111741	3.097019412114828e-4	62.07615304763439
24	8.963786303334529e-5	8.963384574015148e-5	0.9953273857699626	8.921502135705307e-5	61.09531282802809
25	2.931641029178451e-4	2.931211366203133e-4	0.9952381707486055	2.917253438177527e-4	60.10074470583079
26	2.594286084898012e-4	2.593949612528777e-4	0.9949464454047878	2.580840946544633e-4	59.1182200662599
27	2.406956103138069e-4	2.406666466111128e-4	0.9946883613101334	2.3938831233961277e-4	58.133429282376724
28	1.7025744344260552e-4	1.702429508778152e-4	0.9944489729977938	1.6929792766055718e-4	57.14730306549166
29	2.5909032024927216e-4	2.5905676069972594e-4	0.9942796750701332	2.5757487185324476e-4	56.15694851159401
30	3.5716647926450164e-4	3.571027067062566e-4	0.99402210019828	3.5496798250664357e-4	55.17137055651409
31	2.5887286753475367e-4	2.5883936429052127e-4	0.9936671322157733	2.572001688191161e-4	54.190900825231004
32	3.1383420400530904e-4	3.137849657778272e-4	0.9934099320469542	3.117171015307071e-4	53.20480174197324
33	4.041601551974996e-4	4.0407849898306905e-4	0.9930982149454235	4.01289636037912e-4	52.22134490738076
34	3.051910218350304e-4	3.051444581605337e-4	0.9926969253093856	3.0291596539116025e-4	51.242252839242035
35	3.1462955944711003e-4	3.1458007135247977e-4	0.9923940093439944	3.121873782692072e-4	50.2577412827032
36	2.927229084948188e-4	2.926800714139374e-4	0.9920818219657251	2.9036257850139757e-4	49.27339900211275
37	3.3168745995250837e-4	3.3163246078823005e-4	0.9917914593872238	3.2891024226533493e-4	48.28767818324753
38	5.431409062693979e-4	5.429934452934104e-4	0.9914625491449585	5.383576654396082e-4	47.30353138599544
39	4.8648818304510217e-4	4.8636987644636205e-4	0.9909241914795188	4.8195567657760476e-4	46.32895920389306
40	4.5769840831432835e-4	4.575936883629192e-4	0.9904422358029412	4.53220115791484e-4	45.35125987549362
41	6.401049147567601e-4	6.399001131530688e-4	0.9899890156871497	6.334940831585023e-4	44.371792924721504
42	5.31524067097097e-4	5.313828457114279e-4	0.9893555216039912	5.257265524902429e-4	43.39988446575855
43	4.8391779849662873e-4	4.838007386024609e-4	0.9888297950515009	4.783965851980362e-4	42.42269284842994
44	5.871703283260752e-4	5.86997994423519e-4	0.9883513984663029	5.801602886854002e-4	41.44298489550158
45	6.150459665932928e-4	6.148568839700338e-4	0.9877712381776176	6.07337945581112e-4	40.46703246139389
46	8.081256239205185e-4	8.077992222952586e-4	0.9871639002320365	7.974302308853933e-4	39.491621585226696
47	9.3033186920449e-4	9.298993117220669e-4	0.9863664700011511	9.172215015597951e-4	38.523144450965695
48	1.1016955547338953e-3	1.1010890222932818e-3	0.9854492484995913	1.0850673495500641e-3	37.558535056519915
49	1.1945985997489832e-3	1.1938854927800156e-3	0.9843641811500411	1.1752181154873133e-3	36.59938478183703
50	1.369945503266793e-3	1.3690077702473993e-3	0.9831889630345538	1.3459933300157872e-3	35.64253482984268
51	1.712237144844561e-3	1.710772520716386e-3	0.981842969704538	1.6797099722290947e-3	34.69071118689808
52	1.7698144827208158e-3	1.7682497457162977e-3	0.9801632597323089	1.7331734347821126e-3	33.74930395495789
53	1.787185105754736e-3	1.7855895162605096e-3	0.9784300862975267	1.7470745044867292e-3	32.808201173212694
54	1.9016246163060567e-3	1.8998182457347584e-3	0.97668301179304	1.8555202061035937e-3	31.865993551982466
55	1.8788439238481072e-3	1.8770805531521755e-3	0.9748274915869364	1.8298297271359541e-3	30.925696663889443
56	2.6675851758480944e-3	2.6640319098327663e-3	0.9729976618598004	2.5920968193871804e-3	29.982915551875248
57	2.851578289787969e-3	2.8475183290645025e-3	0.9704055650404132	2.7632476330787716e-3	29.061668780815246
58	3.065110612179217e-3	3.0604203487348985e-3	0.9676423174073344	2.9613922384904e-3	28.143230905823213
59	3.592335262852804e-3	3.585894395410055e-3	0.9646809251688441	3.4592439229219445e-3	27.228090518276908
60	3.8684719535783366e-3	3.861003861003861e-3	0.9612216812459221	3.711280622571128e-3	26.324279551983278
61	4.0677729379620985e-3	4.059516342602272e-3	0.957510400623351	3.8870291195421424e-3	25.424373658773906
62	4.54998368707399e-3	4.539656006686315e-3	0.9536233715038089	4.329122066563722e-3	24.525966980721574
63	4.958589556748303e-3	4.946326156137257e-3	0.9492942494372453	4.695518975862132e-3	23.6355340026312
64	5.204262877442274e-3	5.190755848458274e-3	0.9445987304613832	4.903181384588686e-3	22.75053875059756
65	6.516629869667403e-3	6.495465597103661e-3	0.9396955490767945	6.103760110779754e-3	21.86663851025502
66	6.948392394668688e-3	6.92433589323933e-3	0.9335917889660148	6.464503133970894e-3	21.00633215086082
67	7.749434937035841e-3	7.7195239626889674e-3	0.9271272858320438	7.156981299443246e-3	20.149314943494865
68	8.547565619791617e-3	8.511190639544586e-3	0.9199703045326006	7.830042644596852e-3	19.302178333654954
69	9.999348273390003e-3	9.94960349811013e-3	0.9121402618880039	9.075433940447974e-3	18.463580986640697
70	1.1299648897006635e-2	1.1236166528645638e-2	0.9030648279475559	1.014698679298146e-2	17.644107663721748
71	1.2144069394682256e-2	1.2070775228669967e-2	0.8929178411545744	1.0778210558246102e-2	16.83893077736488
72	1.3672826176846245e-2	1.3579987770709939e-2	0.8821396305963283	1.1979445395556721e-2	16.038564066820427
73	1.4671240606554586e-2	1.4564401685842832e-2	0.8701601852007715	1.2673362468291427e-2	15.252482587719982
74	1.62281561180683e-2	1.6097539426602466e-2	0.8574868227324801	1.3803427936728178e-2	14.470519243426892
75	1.8161180476730987e-2	1.7997750281214846e-2	0.8436833947957519	1.518440305594154e-2	13.699089648871462
76	2.186104332611999e-2	2.1624674354630086e-2	0.8284989917398103	1.791602089951276e-2	12.940997362940129
77	2.3139737239677955e-2	2.2875075620084697e-2	0.8105829708402975	1.8542146754324716e-2	12.215976207529174
78	2.691663603316587e-2	2.6559193954659947e-2	0.7920408240859728	2.103596586690805e-2	11.490254178567952
79	3.1279352684886554e-2	3.0797686830757575e-2	0.7710048582190646	2.37451661684234e-2	10.79011041073622
