Sex	Age	Year	Month	J09	J10	J11
M	0–4	2010	Juli	0	1	0
M	0–4	2010	Augusti	0	0	0
M	0–4	2010	September	0	0	0
M	0–4	2010	Oktober	0	0	0
M	0–4	2010	November	0	0	0
M	0–4	2010	December	0	0	0
M	0–4	2011	Januari	14	6	2
M	0–4	2011	Februari	7	7	6
M	0–4	2011	Mars	4	5	3
M	0–4	2011	April	1	0	3
M	0–4	2011	Maj	0	0	0
M	0–4	2011	Juni	0	0	0
M	0–4	2011	Juli	0	0	0
M	0–4	2011	Augusti	0	0	0
M	0–4	2011	September	0	0	0
M	0–4	2011	Oktober	0	0	0
M	0–4	2011	November	0	0	0
M	0–4	2011	December	3	0	0
M	0–4	2012	Januari	1	1	1
M	0–4	2012	Februari	7	15	5
M	0–4	2012	Mars	7	23	3
M	0–4	2012	April	1	2	1
M	0–4	2012	Maj	0	0	1
M	0–4	2012	Juni	0	0	0
M	0–4	2012	Juli	0	0	0
M	0–4	2012	Augusti	0	1	0
M	0–4	2012	September	0	0	0
M	0–4	2012	Oktober	0	0	0
M	0–4	2012	November	1	0	0
M	0–4	2012	December	0	2	0
M	0–4	2013	Januari	15	10	4
M	0–4	2013	Februari	22	20	4
M	0–4	2013	Mars	11	9	5
M	0–4	2013	April	2	6	0
M	0–4	2013	Maj	0	0	0
M	0–4	2013	Juni	0	0	0
M	0–4	2013	Juli	0	0	0
M	0–4	2013	Augusti	0	0	0
M	0–4	2013	September	0	0	0
M	0–4	2013	Oktober	0	0	0
M	0–4	2013	November	0	0	0
M	0–4	2013	December	3	1	0
M	0–4	2014	Januari	4	4	0
M	0–4	2014	Februari	7	4	1
M	0–4	2014	Mars	7	3	1
M	0–4	2014	April	1	1	0
M	0–4	2014	Maj	0	1	0
M	0–4	2014	Juni	0	0	0
M	0–4	2014	Juli	0	0	0
M	0–4	2014	Augusti	0	0	0
M	0–4	2014	September	0	0	0
M	0–4	2014	Oktober	0	0	0
M	0–4	2014	November	0	1	0
M	0–4	2014	December	1	0	0
M	0–4	2015	Januari	3	4	3
M	0–4	2015	Februari	8	14	4
M	0–4	2015	Mars	9	15	6
M	0–4	2015	April	3	10	4
M	0–4	2015	Maj	1	2	0
M	0–4	2015	Juni	0	0	0
M	0–4	2015	Juli	0	0	0
M	0–4	2015	Augusti	0	0	0
M	0–4	2015	September	0	0	0
M	0–4	2015	Oktober	0	0	0
M	0–4	2015	November	0	1	0
M	0–4	2015	December	7	12	1
M	0–4	2016	Januari	21	24	3
