measure,location,sex,age,cause,rei,metric,year,val,upper,lower
1,12,1,25,493,169,2,2017,0.9735784558295122,0.9839256853720288,0.9612480524230111
1,12,2,25,493,169,2,2017,0.9731725318511629,0.9847357355736743,0.9592879158837897
1,19,1,25,493,169,2,2017,0.9779571385528566,0.9872144738981129,0.9657062320096189
1,19,2,25,493,169,2,2017,0.9689716535610262,0.9825527180988344,0.9527033010035479
1,50,1,25,493,169,2,2017,0.9864951804640848,0.9930411634809607,0.9790927718301846
1,50,2,25,493,169,2,2017,0.9862222413897674,0.9925180964245933,0.9779532920552212
1,80,1,25,493,169,2,2017,0.977720272215448,0.9866095237358564,0.966041103212296
1,80,2,25,493,169,2,2017,0.965938443967914,0.9782033466473212,0.949764648287376
1,117,1,25,493,169,2,2017,0.9692288078837211,0.9824575814776147,0.9520690361844337
1,117,2,25,493,169,2,2017,0.9703809487437824,0.9836697388365944,0.954615968897096
1,147,1,25,493,169,2,2017,0.9846438799317206,0.9912480056033741,0.976788084632768
1,147,2,25,493,169,2,2017,0.9832778990052573,0.9908730250353864,0.9739590536226315
1,213,1,25,493,169,2,2017,0.9609599414378808,0.9761736361910975,0.9424240939815716
1,213,2,25,493,169,2,2017,0.9664112348160493,0.9794929222029527,0.9482875670243345
1,422,1,25,493,169,2,2017,0.955266899580975,0.9728429586630879,0.9346097539493763
1,422,2,25,493,169,2,2017,0.9582595069242402,0.9741153211325545,0.939778600952722
1,110,1,25,493,169,2,2017,0.9711146943283466,0.9834677069307778,0.9553768083664972
1,110,2,25,493,169,2,2017,0.9639088408666937,0.9787763069760991,0.9442397038104585
1,26,1,25,493,169,2,2017,0.9800993316686686,0.9887209165490988,0.9691533807094851
1,26,2,25,493,169,2,2017,0.9817274815504479,0.9898572185416556,0.9713588935081047
1,161,1,25,493,169,2,2017,0.9571454568258592,0.9705771314351067,0.9385514856866832
1,161,2,25,493,169,2,2017,0.9530305991390969,0.9683315199051317,0.9335409013815881
1,97,1,25,493,169,2,2017,0.964972831225835,0.9796904075942812,0.9476363158900901
1,97,2,25,493,169,2,2017,0.9633076619476387,0.9764938704769345,0.9456772684242213
1,54,1,25,493,169,2,2017,0.9826735936509554,0.9895330898619508,0.97374699981218
1,54,2,25,493,169,2,2017,0.9765856853723304,0.9856137950425787,0.9656268324534638
1,87,1,25,493,169,2,2017,0.9857538068844963,0.9923282675759784,0.9773165089990454
1,87,2,25,493,169,2,2017,0.9770483183753726,0.987155470565919,0.964548469876468
1,33,1,25,493,169,2,2017,0.9825340589122218,0.9899375507916474,0.9733270697821017
1,33,2,25,493,169,2,2017,0.9737987700648346,0.9855303210062909,0.9594492939833459
1,305,1,25,493,169,2,2017,0.9609816199905906,0.9747008417818294,0.9447609598679799
1,305,2,25,493,169,2,2017,0.9554774755434983,0.9695224171960964,0.938113748424027
1,151,1,25,493,169,2,2017,0.9726975275755471,0.9831143304198047,0.9622983284132827
1,151,2,25,493,169,2,2017,0.9657662523000318,0.9794071900443816,0.9512289675139406
1,43,1,25,493,169,2,2017,0.9773950897743084,0.9865071124567348,0.9666218853519686
1,43,2,25,493,169,2,2017,0.9720626722605421,0.9823450332116557,0.9601258661186346
1,57,1,25,493,169,2,2017,0.9845225148463763,0.9900289804870414,0.976889529122259
1,57,2,25,493,169,2,2017,0.9761156436029307,0.9850905632009552,0.9638350494697175
1,101,1,25,493,169,2,2017,0.9630156037231619,0.9776852294649504,0.9462750643863219
1,101,2,25,493,169,2,2017,0.9639200587726411,0.9767948735335563,0.9486110378701421
1,189,1,25,493,169,2,2017,0.9737348685463801,0.9839796631510018,0.9598293671215254
1,189,2,25,493,169,2,2017,0.9698527125910822,0.9814965375929582,0.9549403968425401
1,175,1,25,493,169,2,2017,0.971831577930205,0.9836159318376942,0.9560419878230028
1,175,2,25,493,169,2,2017,0.9754454967244153,0.985772961657682,0.9611883869540325
1,6,1,25,493,169,2,2017,0.9740169344880064,0.982592291718409,0.9625629501373394
1,6,2,25,493,169,2,2017,0.9581680154071877,0.9728749519133417,0.9415174898115785
1,107,1,25,493,169,2,2017,0.9683286290867568,0.9806328549862412,0.9528251373168682
1,107,2,25,493,169,2,2017,0.9678578275649388,0.9808178825132242,0.9516207076413978
1,141,1,25,493,169,2,2017,0.980780085800757,0.9889761795286169,0.9709038177243952
1,141,2,25,493,169,2,2017,0.9823374803891931,0.9905882452603766,0.9730660300712014
1,94,1,25,493,169,2,2017,0.9743274443623027,0.9854770106932449,0.9605763648664989
1,94,2,25,493,169,2,2017,0.9653578781351818,0.9787636112673784,0.9486878949604023
1,148,1,25,493,169,2,2017,0.9755965675854517,0.9855679185821062,0.9635940787770441
1,148,2,25,493,169,2,2017,0.98205423905267,0.99010117069382,0.9723229193935329
1,13,1,25,493,169,2,2017,0.9816848838141553,0.9883289993625043,0.9735357983195299
1,13,2,25,493,169,2,2017,0.9760815818433998,0.9851400373074078,0.9635905468674141
1,36,1,25,493,169,2,2017,0.9797855818528808,0.9877366952548335,0.9692013101420955
1,36,2,25,493,169,2,2017,0.9660776915370946,0.9803616929612576,0.949094015298809
1,61,1,25,493,169,2,2017,0.9839402413661757,0.990722644170835,0.975164099341532
1,61,2,25,493,169,2,2017,0.9782163168642372,0.9870027439641739,0.9671123918308122
1,203,1,25,493,169,2,2017,0.9732678819582798,0.9822824539881412,0.9619220656908596
1,203,2,25,493,169,2,2017,0.9704428942813306,0.9810666271455747,0.9567522678359938
1,135,1,25,493,169,2,2017,0.9675559847594504,0.978158643648951,0.9551597858944001
1,135,2,25,493,169,2,2017,0.969438994275856,0.9793213229164958,0.9571983588733807
1,131,1,25,493,169,2,2017,0.9789717831969776,0.9878196876765621,0.9674605015924089
1,131,2,25,493,169,2,2017,0.9761626184723319,0.986831287778919,0.9623705886484681
1,217,1,25,493,169,2,2017,0.9768510238975894,0.9856277255376615,0.965646747515024
1,217,2,25,493,169,2,2017,0.9788595122337234,0.9875766032498428,0.9672308707892499
1,210,1,25,493,169,2,2017,0.9780905739680307,0.9866627448752419,0.9664532429984921
1,210,2,25,493,169,2,2017,0.9799037577455981,0.9883534830285589,0.9682623388151715
1,144,1,25,493,169,2,2017,0.9810852027347414,0.9880455792389146,0.9729599388232913
1,144,2,25,493,169,2,2017,0.9789255637527415,0.988102897310048,0.9676060027492475
1,376,1,25,493,169,2,2017,0.9764354060918853,0.9862652066722987,0.9651503790980511
1,376,2,25,493,169,2,2017,0.979481032823363,0.9880351833865004,0.9683677358751533
1,30,1,25,493,169,2,2017,0.9845228975507562,0.9907873812553716,0.9763401688637354
1,30,2,25,493,169,2,2017,0.9858881082768265,0.9923473076584881,0.9771207427722793
1,81,1,25,493,169,2,2017,0.9790509229360911,0.9880664393224826,0.9675569847554454
1,81,2,25,493,169,2,2017,0.9711240112298235,0.9816760860204505,0.9569351023228982
1,178,1,25,493,169,2,2017,0.9605350413211499,0.9759151380227156,0.9406433726566608
1,178,2,25,493,169,2,2017,0.9576159550535137,0.9747800702119622,0.9364533112716651
1,23,1,25,493,169,2,2017,0.9861140239469247,0.990959186432654,0.978951506084197
1,23,2,25,493,169,2,2017,0.983808581152487,0.9903142484100039,0.9750693745007337
1,67,1,25,493,169,2,2017,0.9557236360651061,0.9688733992951799,0.9389244171162735
