ctry,yr,li,age,sex,ca1,ca2,rat
4290,1989,9,13,1,18,493,0.036511
4290,1989,9,13,2,4,264,0.015152
4290,1989,9,14,1,61,737,0.082768
4290,1989,9,14,2,11,423,0.026005
4290,1989,9,15,1,106,880,0.120455
4290,1989,9,15,2,23,558,0.041219
4290,1989,9,16,1,193,1197,0.161236
4290,1989,9,16,2,41,669,0.061286
4290,1989,9,17,1,351,1861,0.188608
4290,1989,9,17,2,77,990,0.077778
4290,1989,9,18,1,681,2995,0.227379
4290,1989,9,18,2,174,1620,0.107407
4290,1989,9,19,1,1286,5238,0.245514
4290,1989,9,19,2,446,2932,0.152115
4290,1989,9,20,1,1690,6764,0.249852
4290,1989,9,20,2,739,4203,0.175827
4290,1989,9,21,1,1992,8870,0.224577
4290,1989,9,21,2,1305,7038,0.185422
4290,1989,9,22,1,1609,8523,0.188783
4290,1989,9,22,2,1461,9036,0.161687
4290,1989,9,23,1,1134,8613,0.131661
4290,1989,9,23,2,1732,15697,0.11034
4290,1990,9,1,1,9566,49050,0.195025
4290,1990,9,1,2,6325,46092,0.137226
4290,1990,9,2,1,0,421,0
4290,1990,9,2,2,0,318,0
4290,1990,9,3,1,0,23,0
4290,1990,9,3,2,0,22,0
4290,1990,9,4,1,0,21,0
4290,1990,9,4,2,0,10,0
4290,1990,9,5,1,0,18,0
4290,1990,9,5,2,0,9,0
4290,1990,9,6,1,0,11,0
4290,1990,9,6,2,0,5,0
4290,1990,9,7,1,0,46,0
4290,1990,9,7,2,0,31,0
4290,1990,9,8,1,0,42,0
4290,1990,9,8,2,0,40,0
4290,1990,9,9,1,0,181,0
4290,1990,9,9,2,0,74,0
4290,1990,9,10,1,1,265,0.003774
4290,1990,9,10,2,0,95,0
4290,1990,9,11,1,1,298,0.003356
4290,1990,9,11,2,1,127,0.007874
4290,1990,9,12,1,5,319,0.015674
4290,1990,9,12,2,1,151,0.006623
4290,1990,9,13,1,13,411,0.03163
4290,1990,9,13,2,6,223,0.026906
4290,1990,9,14,1,55,706,0.077904
4290,1990,9,14,2,19,403,0.047146
4290,1990,9,15,1,128,976,0.131148
4290,1990,9,15,2,28,589,0.047538
4290,1990,9,16,1,182,1168,0.155822
4290,1990,9,16,2,35,658,0.053191
4290,1990,9,17,1,361,1858,0.194295
4290,1990,9,17,2,91,1077,0.084494
4290,1990,9,18,1,676,2961,0.228301
4290,1990,9,18,2,196,1617,0.121212
4290,1990,9,19,1,1233,4926,0.250305
4290,1990,9,19,2,460,2886,0.15939
4290,1990,9,20,1,1798,6986,0.257372
4290,1990,9,20,2,777,4399,0.176631
4290,1990,9,21,1,2152,9175,0.23455
4290,1990,9,21,2,1316,7101,0.185326
4290,1990,9,22,1,1711,9030,0.18948
4290,1990,9,22,2,1557,9694,0.160615
4290,1990,9,23,1,1250,9208,0.135752
4290,1990,9,23,2,1838,16563,0.11097
4290,1991,9,1,1,9572,48997,0.195359
4290,1991,9,1,2,6366,45939,0.138575
4290,1991,9,2,1,0,418,0
4290,1991,9,2,2,0,335,0
4290,1991,9,3,1,0,22,0
4290,1991,9,3,2,0,24,0
4290,1991,9,4,1,0,12,0
4290,1991,9,4,2,0,15,0
4290,1991,9,5,1,0,13,0
4290,1991,9,5,2,0,7,0
4290,1991,9,6,1,0,10,0
4290,1991,9,6,2,0,13,0
4290,1991,9,7,1,0,33,0
4290,1991,9,7,2,0,22,0
4290,1991,9,8,1,0,30,0
4290,1991,9,8,2,1,41,0.02439
4290,1991,9,9,1,0,182,0
4290,1991,9,9,2,0,66,0
4290,1991,9,10,1,1,240,0.004167
4290,1991,9,10,2,0,75,0
4290,1991,9,11,1,2,301,0.006645
4290,1991,9,11,2,1,126,0.007937
4290,1991,9,12,1,8,335,0.023881
4290,1991,9,12,2,4,148,0.027027
4290,1991,9,13,1,20,426,0.046948
4290,1991,9,13,2,3,233,0.012876
4290,1991,9,14,1,36,693,0.051948
4290,1991,9,14,2,10,408,0.02451
