ctry,yr,li,age,sex,ca1,ca2,rat
4290,1953,7,19,1,1203,4093,0.29392
4290,1953,7,19,2,855,3696,0.23133
4290,1953,7,20,1,1502,4903,0.30634
4290,1953,7,20,2,1363,5021,0.27146
4290,1953,7,21,1,1700,5581,0.30460
4290,1953,7,21,2,1632,5791,0.28182
4290,1953,7,22,1,1378,4528,0.30433
4290,1953,7,22,2,1578,5229,0.30178
4290,1953,7,23,1,973,3854,0.25246
4290,1953,7,23,2,1343,5111,0.26277
4290,1954,7,1,1,9018,35338,0.25519
4290,1954,7,1,2,7610,33692,0.22587
4290,1954,7,2,1,0,1191,0.00000
4290,1954,7,2,2,0,775,0.00000
4290,1954,7,3,1,0,89,0.00000
4290,1954,7,3,2,0,71,0.00000
4290,1954,7,4,1,0,66,0.00000
4290,1954,7,4,2,0,43,0.00000
4290,1954,7,5,1,0,49,0.00000
4290,1954,7,5,2,0,40,0.00000
4290,1954,7,6,1,0,45,0.00000
4290,1954,7,6,2,0,34,0.00000
4290,1954,7,7,1,0,162,0.00000
4290,1954,7,7,2,0,117,0.00000
4290,1954,7,8,1,1,127,0.00787
4290,1954,7,8,2,1,98,0.01020
4290,1954,7,9,1,0,193,0.00000
4290,1954,7,9,2,0,85,0.00000
4290,1954,7,10,1,1,279,0.00358
4290,1954,7,10,2,2,115,0.01739
4290,1954,7,11,1,9,301,0.02990
4290,1954,7,11,2,4,185,0.02162
4290,1954,7,12,1,8,405,0.01975
4290,1954,7,12,2,1,282,0.00355
4290,1954,7,13,1,30,512,0.05859
4290,1954,7,13,2,14,354,0.03955
4290,1954,7,14,1,77,741,0.10391
4290,1954,7,14,2,27,560,0.04821
4290,1954,7,15,1,205,1132,0.18110
4290,1954,7,15,2,43,852,0.05047
4290,1954,7,16,1,344,1533,0.22440
4290,1954,7,16,2,97,1217,0.07970
4290,1954,7,17,1,583,2206,0.26428
4290,1954,7,17,2,224,1677,0.13357
4290,1954,7,18,1,811,2948,0.27510
4290,1954,7,18,2,501,2446,0.20482
4290,1954,7,19,1,1242,4192,0.29628
4290,1954,7,19,2,846,3627,0.23325
4290,1954,7,20,1,1571,5101,0.30798
4290,1954,7,20,2,1226,4842,0.25320
4290,1954,7,21,1,1706,5614,0.30388
4290,1954,7,21,2,1685,5757,0.29269
4290,1954,7,22,1,1415,4697,0.30126
4290,1954,7,22,2,1573,5368,0.29303
4290,1954,7,23,1,1015,3755,0.27031
4290,1954,7,23,2,1366,5147,0.26540
4290,1955,7,1,1,9364,35542,0.26346
4290,1955,7,1,2,7662,33092,0.23154
4290,1955,7,2,1,0,1070,0.00000
4290,1955,7,2,2,0,801,0.00000
4290,1955,7,3,1,0,89,0.00000
4290,1955,7,3,2,0,64,0.00000
4290,1955,7,4,1,0,67,0.00000
4290,1955,7,4,2,0,47,0.00000
4290,1955,7,5,1,0,48,0.00000
4290,1955,7,5,2,0,39,0.00000
4290,1955,7,6,1,0,53,0.00000
4290,1955,7,6,2,0,27,0.00000
4290,1955,7,7,1,0,198,0.00000
4290,1955,7,7,2,0,138,0.00000
4290,1955,7,8,1,0,134,0.00000
4290,1955,7,8,2,0,77,0.00000
4290,1955,7,9,1,1,225,0.00444
4290,1955,7,9,2,0,95,0.00000
4290,1955,7,10,1,2,263,0.00760
4290,1955,7,10,2,1,122,0.00820
4290,1955,7,11,1,4,276,0.01449
4290,1955,7,11,2,0,172,0.00000
4290,1955,7,12,1,13,388,0.03351
4290,1955,7,12,2,3,224,0.01339
4290,1955,7,13,1,26,507,0.05128
4290,1955,7,13,2,9,365,0.02466
4290,1955,7,14,1,79,703,0.11238
4290,1955,7,14,2,20,562,0.03559
4290,1955,7,15,1,191,1080,0.17685
4290,1955,7,15,2,58,854,0.06792
4290,1955,7,16,1,343,1575,0.21778
4290,1955,7,16,2,106,1243,0.08528
4290,1955,7,17,1,672,2363,0.28438
4290,1955,7,17,2,218,1691,0.12892
4290,1955,7,18,1,920,3123,0.29459
4290,1955,7,18,2,425,2353,0.18062
4290,1955,7,19,1,1272,4036,0.31516
4290,1955,7,19,2,880,3538,0.24873
4290,1955,7,20,1,1591,5054,0.31480
4290,1955,7,20,2,1324,4814,0.27503
4290,1955,7,21,1,1804,5709,0.31599
4290,1955,7,21,2,1697,5786,0.29329
4290,1955,7,22,1,1453,4770,0.30461
4290,1955,7,22,2,1560,5234,0.29805
4290,1955,7,23,1,993,3811,0.26056
4290,1955,7,23,2,1361,4846,0.28085
4290,1956,7,1,1,10023,36683,0.27323
4290,1956,7,1,2,8038,33522,0.23978
4290,1956,7,2,1,0,1067,0.00000
4290,1956,7,2,2,0,804,0.00000
4290,1956,7,3,1,0,84,0.00000
4290,1956,7,3,2,0,61,0.00000
4290,1956,7,4,1,0,66,0.00000
4290,1956,7,4,2,0,52,0.00000
4290,1956,7,5,1,0,57,0.00000
4290,1956,7,5,2,0,24,0.00000
4290,1956,7,6,1,0,37,0.00000
4290,1956,7,6,2,0,33,0.00000
4290,1956,7,7,1,0,194,0.00000
4290,1956,7,7,2,0,99,0.00000
4290,1956,7,8,1,0,124,0.00000
4290,1956,7,8,2,0,83,0.00000
4290,1956,7,9,1,2,245,0.00816
4290,1956,7,9,2,1,109,0.00917
4290,1956,7,10,1,0,252,0.00000
4290,1956,7,10,2,1,106,0.00943
4290,1956,7,11,1,7,294,0.02381
4290,1956,7,11,2,2,141,0.01418
4290,1956,7,12,1,12,422,0.02844
4290,1956,7,12,2,6,243,0.02469
4290,1956,7,13,1,26,509,0.05108
4290,1956,7,13,2,15,349,0.04298
4290,1956,7,14,1,77,746,0.10322
4290,1956,7,14,2,16,510,0.03137
4290,1956,7,15,1,194,1124,0.17260
4290,1956,7,15,2,46,809,0.05686
4290,1956,7,16,1,350,1636,0.21394
4290,1956,7,16,2,114,1138,0.10018
4290,1956,7,17,1,687,2337,0.29397
4290,1956,7,17,2,197,1602,0.12297
4290,1956,7,18,1,985,3212,0.30666
4290,1956,7,18,2,412,2347,0.17554
4290,1956,7,19,1,1337,4141,0.32287
4290,1956,7,19,2,840,3593,0.23379
4290,1956,7,20,1,1710,5204,0.32859
4290,1956,7,20,2,1392,4948,0.28133
4290,1956,7,21,1,1843,5804,0.31754
4290,1956,7,21,2,1825,5941,0.30719
4290,1956,7,22,1,1575,5078,0.31016
4290,1956,7,22,2,1673,5441,0.30748
4290,1956,7,23,1,1218,4050,0.30074
4290,1956,7,23,2,1498,5089,0.29436
4290,1957,7,1,1,10706,38156,0.28058
4290,1957,7,1,2,8599,34976,0.24585
4290,1957,7,2,1,0,1091,0.00000
4290,1957,7,2,2,0,813,0.00000
4290,1957,7,3,1,0,95,0.00000
4290,1957,7,3,2,0,56,0.00000
4290,1957,7,4,1,0,53,0.00000
4290,1957,7,4,2,0,40,0.00000
4290,1957,7,5,1,0,53,0.00000
4290,1957,7,5,2,0,30,0.00000
4290,1957,7,6,1,0,50,0.00000
4290,1957,7,6,2,0,26,0.00000
4290,1957,7,7,1,1,192,0.00521
4290,1957,7,7,2,0,104,0.00000
4290,1957,7,8,1,0,172,0.00000
4290,1957,7,8,2,0,95,0.00000
4290,1957,7,9,1,2,234,0.00855
4290,1957,7,9,2,0,104,0.00000
4290,1957,7,10,1,3,250,0.01200
4290,1957,7,10,2,2,111,0.01802
4290,1957,7,11,1,6,291,0.02062
4290,1957,7,11,2,2,140,0.01429
4290,1957,7,12,1,14,395,0.03544
4290,1957,7,12,2,3,218,0.01376
4290,1957,7,13,1,35,510,0.06863
4290,1957,7,13,2,6,322,0.01863
4290,1957,7,14,1,55,702,0.07835
4290,1957,7,14,2,17,511,0.03327
4290,1957,7,15,1,185,1131,0.16357
4290,1957,7,15,2,52,810,0.06420
4290,1957,7,16,1,429,1710,0.25088
4290,1957,7,16,2,106,1153,0.09193
4290,1957,7,17,1,658,2419,0.27201
4290,1957,7,17,2,240,1700,0.14118
4290,1957,7,18,1,1057,3399,0.31097
4290,1957,7,18,2,499,2491,0.20032
4290,1957,7,19,1,1424,4301,0.33109
4290,1957,7,19,2,910,3617,0.25159
4290,1957,7,20,1,1772,5359,0.33066
4290,1957,7,20,2,1433,5154,0.27804
4290,1957,7,21,1,2006,6065,0.33075
4290,1957,7,21,2,1862,6180,0.30129
4290,1957,7,22,1,1683,5302,0.31743
4290,1957,7,22,2,1792,5732,0.31263
4290,1957,7,23,1,1376,4382,0.31401
4290,1957,7,23,2,1675,5569,0.30077
4290,1958,7,1,1,10426,36885,0.28266
4290,1958,7,1,2,8066,34180,0.23599
4290,1958,7,2,1,0,987,0.00000
4290,1958,7,2,2,0,691,0.00000
4290,1958,7,3,1,0,72,0.00000
4290,1958,7,3,2,0,75,0.00000
4290,1958,7,4,1,0,55,0.00000
4290,1958,7,4,2,0,31,0.00000
4290,1958,7,5,1,0,50,0.00000
4290,1958,7,5,2,0,38,0.00000
4290,1958,7,6,1,0,46,0.00000
4290,1958,7,6,2,0,20,0.00000
4290,1958,7,7,1,0,159,0.00000
4290,1958,7,7,2,0,88,0.00000
4290,1958,7,8,1,1,134,0.00746
4290,1958,7,8,2,0,99,0.00000
4290,1958,7,9,1,1,254,0.00394
4290,1958,7,9,2,0,107,0.00000
4290,1958,7,10,1,2,232,0.00862
4290,1958,7,10,2,0,90,0.00000
4290,1958,7,11,1,3,255,0.01176
4290,1958,7,11,2,0,136,0.00000
4290,1958,7,12,1,9,334,0.02695
4290,1958,7,12,2,4,194,0.02062
4290,1958,7,13,1,33,503,0.06561
4290,1958,7,13,2,13,357,0.03641
4290,1958,7,14,1,91,653,0.13936
4290,1958,7,14,2,24,511,0.04697
4290,1958,7,15,1,191,1017,0.18781
4290,1958,7,15,2,36,828,0.04348
4290,1958,7,16,1,375,1562,0.24008
4290,1958,7,16,2,90,1162,0.07745
4290,1958,7,17,1,674,2287,0.29471
4290,1958,7,17,2,216,1658,0.13028
4290,1958,7,18,1,1025,3259,0.31451
4290,1958,7,18,2,446,2393,0.18638
4290,1958,7,19,1,1369,4261,0.32129
4290,1958,7,19,2,789,3497,0.22562
4290,1958,7,20,1,1742,5393,0.32301
4290,1958,7,20,2,1305,5035,0.25919
4290,1958,7,21,1,1882,5804,0.32426
4290,1958,7,21,2,1791,6020,0.29751
4290,1958,7,22,1,1683,5286,0.31839
4290,1958,7,22,2,1800,5829,0.30880
4290,1958,7,23,1,1345,4282,0.31411
4290,1958,7,23,2,1552,5321,0.29167
4290,1959,7,1,1,10366,37138,0.27912
4290,1959,7,1,2,7996,33751,0.23691
4290,1959,7,2,1,0,1043,0.00000
4290,1959,7,2,2,0,699,0.00000
4290,1959,7,3,1,0,74,0.00000
4290,1959,7,3,2,0,57,0.00000
4290,1959,7,4,1,0,54,0.00000
4290,1959,7,4,2,0,41,0.00000
4290,1959,7,5,1,1,50,0.02000
4290,1959,7,5,2,0,25,0.00000
4290,1959,7,6,1,0,38,0.00000
4290,1959,7,6,2,0,19,0.00000
4290,1959,7,7,1,0,161,0.00000
4290,1959,7,7,2,0,90,0.00000
4290,1959,7,8,1,0,133,0.00000
4290,1959,7,8,2,0,69,0.00000
4290,1959,7,9,1,0,261,0.00000
4290,1959,7,9,2,0,102,0.00000
4290,1959,7,10,1,2,283,0.00707
4290,1959,7,10,2,1,104,0.00962
4290,1959,7,11,1,4,259,0.01544
4290,1959,7,11,2,0,133,0.00000
4290,1959,7,12,1,8,329,0.02432
4290,1959,7,12,2,5,174,0.02874
4290,1959,7,13,1,27,468,0.05769
4290,1959,7,13,2,9,340,0.02647
4290,1959,7,14,1,69,603,0.11443
4290,1959,7,14,2,11,502,0.02191
4290,1959,7,15,1,210,1118,0.18784
4290,1959,7,15,2,36,718,0.05014
4290,1959,7,16,1,376,1590,0.23648
4290,1959,7,16,2,85,1124,0.07562
4290,1959,7,17,1,687,2320,0.29612
4290,1959,7,17,2,210,1583,0.13266
4290,1959,7,18,1,989,3072,0.32194
4290,1959,7,18,2,414,2324,0.17814
4290,1959,7,19,1,1338,4164,0.32133
4290,1959,7,19,2,782,3438,0.22746
4290,1959,7,20,1,1813,5522,0.32832
4290,1959,7,20,2,1364,5026,0.27139
4290,1959,7,21,1,1875,5855,0.32024
4290,1959,7,21,2,1770,5942,0.29788
4290,1959,7,22,1,1677,5364,0.31264
4290,1959,7,22,2,1717,5831,0.29446
4290,1959,7,23,1,1290,4377,0.29472
4290,1959,7,23,2,1592,5410,0.29427
4290,1960,7,1,1,11930,39511,0.30194
4290,1960,7,1,2,9129,35582,0.25656
4290,1960,7,2,1,0,993,0.00000
